country,binomial
China,Berylmys bowersi
China,Berylmys mackenziei
China,Berylmys manipulus
China,Blarinella griselda
China,Blarinella quadraticauda
China,Blarinella wardi
China,Brachiones przewalskii
China,Budorcas taxicolor
China,Callosciurus caniceps
China,Callosciurus erythraeus
China,Callosciurus inornatus
China,Callosciurus phayrei
China,Callosciurus pygerythrus
China,Callosciurus quinquestriatus
China,Camelus ferus
China,Canis lupus
China,Cannomys badius
China,Cansumys canus
China,Capra sibirica
China,Capreolus pygargus
China,Capricornis milneedwardsii
China,Capricornis rubidus
China,Capricornis thar
China,Cardiocranius paradoxus
China,Caryomys eva
China,Caryomys inez
China,Catopuma temminckii
China,Cervus albirostris
China,Cervus canadensis
China,Chaerephon plicatus
China,Chaetocauda sichuanensis
China,Chimarrogale himalayica
China,Chimarrogale styani
China,Chiromyscus chiropus
China,Chiropodomys gliroides
China,Chodsigoa caovansunga
China,Chodsigoa hypsibia
China,Chodsigoa lamula
China,Chodsigoa parca
China,Chodsigoa parva
China,Chodsigoa salenskii
China,Chodsigoa smithii
China,Chrotogale owstoni
China,Coelops frithii
China,Cricetulus alticola
China,Cricetulus barabensis
China,Cricetulus kamensis
China,Cricetulus lama
China,Cricetulus longicaudatus
China,Cricetulus migratorius
China,Cricetulus sokolovi
China,Cricetulus tibetanus
China,Cricetus cricetus
China,Crocidura attenuata
China,Crocidura fuliginosa
China,Crocidura gmelini
China,Crocidura horsfieldii
China,Crocidura indochinensis
China,Crocidura lasiura
China,Crocidura rapax
China,Crocidura shantungensis
China,Crocidura sibirica
China,Crocidura suaveolens
China,Crocidura tanakae
China,Crocidura vorax
China,Crocidura wuchihensis
China,Cuon alpinus
China,Cynopterus brachyotis
China,Cynopterus sphinx
China,Dacnomys millardi
China,Dipus sagitta
China,Dremomys gularis
China,Dremomys lokriah
China,Dremomys pernyi
China,Dremomys pyrrhomerus
China,Dremomys rufigenis
China,Dryomys nitedula
China,Elaphodus cephalophus
China,Elaphurus davidianus
China,Ellobius tancrei
China,Eoglaucomys fimbriatus
China,Eolagurus luteus
China,Eolagurus przewalskii
China,Eonycteris spelaea
China,Eospalax fontanierii
China,Eospalax rothschildi
China,Eospalax smithii
China,Eothenomys cachinus
China,Eothenomys chinensis
China,Eothenomys custos
China,Eothenomys melanogaster
China,Eothenomys miletus
China,Eothenomys olitor
China,Eothenomys proditor
China,Eothenomys wardi
China,Eozapus setchuanus
China,Episoriculus caudatus
China,Episoriculus leucops
China,Episoriculus macrurus
China,Eptesicus bottae
China,Eptesicus gobiensis
China,Eptesicus nilssonii
China,Eptesicus pachyotis
China,Eptesicus serotinus
China,Equus ferus
China,Equus hemionus
China,Equus kiang
China,Erinaceus amurensis
China,Euchoreutes naso
China,Euroscaptor grandis
China,Euroscaptor klossi
China,Euroscaptor longirostris
China,Euroscaptor micrura
China,Euroscaptor parvidens
China,Eutamias sibiricus
China,Falsistrellus affinis
China,Falsistrellus mordax
China,Felis bieti
China,Felis chaus
China,Felis silvestris
China,Gazella subgutturosa
China,Glischropus tylopus
China,Gulo gulo
China,Hadromys yunnanensis
China,Hapalomys delacouri
China,Harpiocephalus harpia
China,Helarctos malayanus
China,Hemiechinus auritus
China,Hemitragus jemlahicus
China,Herpestes auropunctatus
China,Herpestes javanicus
China,Herpestes urva
China,Hipposideros armiger
China,Hipposideros cineraceus
China,Hipposideros grandis
China,Hipposideros larvatus
China,Hipposideros lylei
China,Hipposideros pomona
China,Hipposideros pratti
China,Hydropotes inermis
China,Hylobates lar
China,Hylomys suillus
China,Hylopetes alboniger
China,Hylopetes phayrei
China,Hypsugo anthonyi
China,Hypsugo savii
China,Hystrix brachyura
China,Hystrix indica
China,Ia io
China,Kerivoula hardwickii
China,Kerivoula kachinensis
China,Kerivoula picta
China,Lagurus lagurus
China,Lasiopodomys brandtii
China,Lasiopodomys fuscus
China,Lasiopodomys mandarinus
China,Lemmus amurensis
China,Leopoldamys edwardsi
China,Leopoldamys sabanus
China,Lepus capensis
China,Lepus comus
China,Lepus coreanus
China,Lepus hainanus
China,Lepus mandshuricus
China,Lepus oiostolus
China,Lepus peguensis
China,Lepus sinensis
China,Lepus tibetanus
China,Lepus timidus
China,Lepus tolai
China,Lepus yarkandensis
China,Lutra lutra
China,Lutrogale perspicillata
China,Lynx lynx
China,Macaca arctoides
China,Macaca assamensis
China,Macaca leonina
China,Macaca mulatta
China,Macaca thibetana
China,Macroglossus sobrinus
China,Manis javanica
China,Manis pentadactyla
China,Marmota baibacina
China,Marmota caudata
China,Marmota himalayana
China,Marmota sibirica
China,Martes flavigula
China,Martes foina
China,Martes zibellina
China,Maxomys surifer
China,Megaderma lyra
China,Megaderma spasma
China,Megaerops niphanae
China,Meles leucurus
China,Melogale moschata
China,Melogale personata
China,Menetes berdmorei
China,Meriones chengi
China,Meriones libycus
China,Meriones meridianus
China,Meriones tamariscinus
China,Meriones unguiculatus
China,Mesechinus dauuricus
China,Mesechinus hughi
China,Micromys minutus
China,Microtus agrestis
China,Microtus arvalis
China,Microtus clarkei
China,Microtus fortis
China,Microtus gregalis
China,Microtus ilaeus
China,Microtus limnophilus
China,Microtus maximowiczii
China,Microtus mongolicus
China,Microtus oeconomus
China,Microtus socialis
China,Mogera insularis
China,Mogera robusta
China,Moschus anhuiensis
China,Moschus berezovskii
China,Moschus chrysogaster
China,Moschus fuscus
China,Moschus leucogaster
China,Moschus moschiferus
China,Muntiacus crinifrons
China,Muntiacus gongshanensis
China,Muntiacus putaoensis
China,Muntiacus reevesi
China,Muntiacus rooseveltorum
China,Muntiacus vaginalis
China,Murina aurata
China,Murina cyclotis
China,Murina fusca
China,Murina harrisoni
China,Murina hilgendorfi
China,Murina huttoni
China,Murina leucogaster
China,Murina tubinaris
China,Murina ussuriensis
China,Mus caroli
China,Mus cervicolor
China,Mus cookii
China,Mus pahari
China,Mus saxicola
China,Mus shortridgei
China,Mustela altaica
China,Mustela erminea
China,Mustela eversmanii
China,Mustela kathiah
China,Mustela nivalis
China,Mustela russelliana
China,Mustela sibirica
China,Mustela strigidorsa
China,Myodes centralis
China,Myodes regulus
China,Myodes rufocanus
China,Myodes rutilus
China,Myodes shanseius
China,Myopus schisticolor
China,Myospalax aspalax
China,Myospalax myospalax
China,Myospalax psilurus
China,Myotis altarium
China,Myotis annectans
China,Myotis blythii
China,Myotis bombinus
China,Myotis brandtii
China,Myotis chinensis
China,Myotis daubentonii
China,Myotis davidii
China,Myotis fimbriatus
China,Myotis formosus
China,Myotis frater
China,Myotis horsfieldii
China,Myotis ikonnikovi
China,Myotis laniger
China,Myotis longipes
China,Myotis macrodactylus
China,Myotis montivagus
China,Myotis muricola
China,Myotis nipalensis
China,Myotis pequinius
China,Myotis pilosus
China,Myotis sicarius
China,Myotis siligorensis
China,Naemorhedus baileyi
China,Naemorhedus caudatus
China,Naemorhedus goral
China,Naemorhedus griseus
China,Nectogale elegans
China,Neodon forresti
China,Neodon irene
China,Neodon juldaschi
China,Neodon linzhiensis
China,Neodon sikimensis
China,Neofelis nebulosa
China,Neohylomys hainanensis
China,Neomys fodiens
China,Neotetracus sinensis
China,Nesokia indica
China,Niviventer andersoni
China,Niviventer brahma
China,Niviventer confucianus
China,Niviventer eha
China,Niviventer excelsior
China,Niviventer fulvescens
China,Niviventer langbianis
China,Niviventer niviventer
China,Niviventer tenaster
China,Nomascus concolor
China,Nomascus hainanus
China,Nomascus leucogenys
China,Nomascus nasutus
China,Nyctalus aviator
China,Nyctalus montanus
China,Nyctalus noctula
China,Nyctalus plancyi
China,Nyctereutes procyonoides
China,Nycticebus bengalensis
China,Nycticebus pygmaeus
China,Ochotona alpina
China,Ochotona argentata
China,Ochotona cansus
China,Ochotona coreana
China,Ochotona curzoniae
China,Ochotona dauurica
China,Ochotona erythrotis
China,Ochotona forresti
China,Ochotona gloveri
China,Ochotona hyperborea
China,Ochotona iliensis
China,Ochotona koslowi
China,Ochotona ladacensis
China,Ochotona macrotis
China,Ochotona mantchurica
China,Ochotona nubrica
China,Ochotona pallasii
China,Ochotona pusilla
China,Ochotona roylei
China,Ochotona rutila
China,Ochotona syrinx
China,Ochotona thibetana
China,Ochotona thomasi
China,Otocolobus manul
China,Ovis ammon
China,Paguma larvata
China,Panthera pardus
China,Panthera tigris
China,Panthera uncia
China,Pantholops hodgsonii
China,Paradoxurus hermaphroditus
